City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
466,china,25.7,-99.2333,314.78,15,0,8.61,MX,1687894467
467,noosa heads,-26.3833,153.15,287.23,77,97,2.56,AU,1687894756
468,kongoussi,13.3258,-1.5347,308.22,34,99,1.97,BF,1687894756
469,nichinan,31.6,131.3667,298.97,94,80,2.15,JP,1687894756
470,panama city beach,30.1766,-85.8055,307.59,70,40,4.12,US,1687894687
471,crane,31.3974,-102.3501,315.37,6,0,10.61,US,1687894757
472,weno,7.4515,151.8468,300.12,89,100,2.57,FM,1687894757
473,warwick,41.7001,-71.4162,299.12,70,75,11.32,US,1687894758
474,kuching,1.55,110.3333,299.27,94,20,0.51,MY,1687894758
475,as sulayyil,20.4607,45.5779,308.29,9,1,4.48,SA,1687894758
476,egilsstadir,65.2653,-14.3948,283.1,81,75,5.14,IS,1687894759
477,lazaro cardenas,17.9583,-102.2,304.82,61,91,5.8,MX,1687894759
478,madimba,-10.4,40.3333,296.63,72,57,4.14,TZ,1687894759
479,lolodorf,3.2333,10.7333,294.34,100,98,0.83,CM,1687894760
480,santa isabel,-23.3156,-46.2214,298.99,58,0,2.02,BR,1687894760
481,san julian,21.0167,-102.1667,303.25,18,8,4.72,MX,1687894760
482,shakiso,5.75,38.9167,288.52,93,100,0.53,ET,1687894761
483,quesnel,52.9999,-122.5029,299.43,36,0,2.57,CA,1687894761
484,kenai,60.5544,-151.2583,283.76,96,100,4.63,US,1687894741
485,maputo,-25.9653,32.5892,292.16,88,0,3.09,MZ,1687894518
486,fengxiang,47.5833,130.8333,292.93,88,100,2.0,CN,1687894761
487,iquitos,-3.7481,-73.2472,302.17,79,40,2.06,PE,1687894762
488,kievka,50.2619,71.5514,285.77,87,100,9.15,KZ,1687894762
489,iquique,-20.2208,-70.1431,293.17,75,17,1.85,CL,1687894678
490,gunnison,38.7,-107.0673,296.62,15,1,10.1,US,1687894763
491,marco island,25.9363,-81.7157,307.06,54,0,3.09,US,1687894763
492,dalmatovo,56.26,62.9362,284.24,67,10,3.29,RU,1687894763
493,lethem,3.3803,-59.7968,303.26,66,52,1.0,GY,1687894764
494,gadzhiyevo,69.2551,33.3362,284.0,79,48,1.17,RU,1687894764
495,mazagao,-0.115,-51.2894,304.18,62,93,2.14,BR,1687894764
496,oranjemund,-28.55,16.4333,287.6,81,100,14.18,NA,1687894764
497,cooper's town,26.8667,-77.5167,301.32,78,2,4.97,BS,1687894765
498,barra de santo antonio,-9.4047,-35.5072,298.75,83,64,4.88,BR,1687894765
499,attnang-puchheim,48.0112,13.715,291.96,35,100,2.27,AT,1687894765
500,szczebrzeszyn,50.695,22.9795,287.24,64,100,3.58,PL,1687894766
501,cannonvale,-20.2833,148.7,293.81,90,83,1.89,AU,1687894766
502,pekanbaru,0.5333,101.45,296.33,94,75,1.54,ID,1687894766
503,kunnamkulam,10.65,76.0833,297.34,91,100,3.28,IN,1687894767
504,nadi,-17.8,177.4167,289.15,94,40,1.54,FJ,1687894767
505,belabo,4.9333,13.3,293.9,98,99,0.5,CM,1687894767
506,rafsanjan,30.4067,55.9939,304.78,13,4,5.18,IR,1687894768
507,avare,-23.0986,-48.9258,292.98,58,0,2.1,BR,1687894768
508,deqen,29.9618,90.7188,284.59,81,98,2.93,CN,1687894768
509,lishu,43.3047,124.3278,292.52,90,84,4.91,CN,1687894769
510,walvis bay,-22.9575,14.5053,287.09,94,0,0.51,NA,1687894769
511,paijan,-7.7333,-79.3022,296.72,64,24,6.21,PE,1687894769
512,lautoka,-17.6167,177.4667,289.07,94,40,1.54,FJ,1687894769
513,jayapura,-2.5333,140.7,297.81,91,96,2.34,ID,1687894770
514,road town,18.4167,-64.6167,304.2,70,40,3.6,VG,1687894480
515,aldinga beach,-35.2793,138.4604,283.52,85,100,1.36,AU,1687894771
516,pacific grove,36.6177,-121.9166,293.36,78,75,5.14,US,1687894771
517,grand falls-windsor,48.9332,-55.6649,291.76,62,87,0.89,CA,1687894771
518,taroudant,30.4703,-8.877,304.06,35,70,2.65,MA,1687894771
519,pimentel,-6.8367,-79.9342,299.31,61,75,7.72,PE,1687894772
520,port-vila,-17.7338,168.3219,286.93,94,40,1.03,VU,1687894772
521,fortuna,40.5982,-124.1573,287.96,94,100,3.6,US,1687894772
522,prince rupert,54.3161,-130.3201,292.2,85,0,4.12,CA,1687894772
523,flin flon,54.7682,-101.865,294.06,68,75,3.09,CA,1687894773
524,ebon,4.582,168.6964,298.93,91,100,10.78,MH,1687894773
525,zheleznodorozhnyy,55.7503,38.0042,289.38,83,100,0.39,RU,1687894773
526,dunedin,-45.8742,170.5036,283.6,96,100,3.58,NZ,1687894526
527,sheridan,44.8333,-106.9173,293.32,72,100,2.06,US,1687894773
528,petauke,-14.2426,31.3253,287.75,42,5,1.79,ZM,1687894774
529,fort st. john,56.2499,-120.8529,296.09,49,75,3.09,CA,1687894655
530,mata-utu,-13.2816,-176.1745,300.92,69,50,4.04,WF,1687894774
531,magistral'nyy,56.1725,107.4458,283.09,96,100,2.46,RU,1687894774
532,portales,34.1862,-103.3344,312.89,8,6,8.67,US,1687894775
533,uribia,11.7139,-72.266,307.02,46,23,8.05,CO,1687894775
534,hailar,49.2,119.7,288.97,86,0,3.48,CN,1687894775
535,rundu,-17.9333,19.7667,288.03,39,1,2.99,NA,1687894776
536,ingeniero guillermo n. juarez,-23.9,-61.85,306.4,25,0,7.1,AR,1687894776
537,boyolangu,-8.1181,111.8935,296.13,94,94,2.0,ID,1687894777
538,kursenai,55.985,22.9189,288.29,95,100,1.32,LT,1687894726
539,kudahuvadhoo,2.6708,72.8944,301.24,72,100,4.17,MV,1687894777
540,melekeok village,7.4957,134.6367,300.56,81,100,3.52,PW,1687894778
541,inhambane,-23.865,35.3833,291.14,94,0,0.0,MZ,1687894778
542,katsuura,35.1333,140.3,297.16,97,100,4.23,JP,1687894778
543,sumbawa besar,-8.5,117.4333,294.87,94,37,1.94,ID,1687894779
544,wanning,18.8003,110.3967,300.06,89,24,1.56,CN,1687894779
545,ondjiva,-17.0667,15.7333,284.74,48,6,2.4,AO,1687894779
546,traverse city,44.7631,-85.6206,294.73,64,100,4.63,US,1687894631
547,san juan de miraflores,-12.1629,-76.9635,297.13,69,60,4.13,PE,1687894780
548,ladybrand,-29.1945,27.4574,282.77,44,30,4.9,ZA,1687894780
549,natal,-5.795,-35.2094,302.27,61,20,6.69,BR,1687894605
550,kushiro,42.975,144.3747,288.02,99,100,4.02,JP,1687894781
551,richards bay,-28.783,32.0377,290.85,92,2,1.91,ZA,1687894782
552,evanston,42.0411,-87.6901,300.01,60,100,3.09,US,1687894514
553,tiassale,5.8983,-4.8283,295.77,88,49,1.56,CI,1687894782
554,ushtobe,45.2514,77.9838,296.1,36,58,2.2,KZ,1687894783
555,padang,-0.9492,100.3543,298.09,90,91,1.57,ID,1687894783
556,sinabang,2.4803,96.3801,299.53,83,99,1.19,ID,1687894783
557,douentza,14.9951,-2.9517,299.51,76,100,10.13,ML,1687894783
558,umm kaddadah,13.6017,26.6876,305.79,35,10,3.99,SD,1687894784
559,bougouni,11.417,-7.479,299.95,77,14,2.36,ML,1687894784
560,ayorou,14.7308,0.9174,303.65,49,100,9.31,NE,1687894784
